Price: 276492, Size: 402699 
Price: 548502, Size: 570154 
Price: 687945, Size: 990624 
Price: 745304, Size: 974892 
Price: 687814, Size: 925279 
Price: 311437, Size: 403885 
Price: 174300, Size: 512583 
Price: 21941, Size: 507437 
Price: 214375, Size: 394285 
Price: 807666, Size: 895939 
Price: 94758, Size: 533678 
Price: 782276, Size: 806120 
Price: 482256, Size: 870940 
Price: 367249, Size: 494539 
Price: 378107, Size: 909305 
Price: 35134, Size: 424183 
Price: 237936, Size: 842110 
Price: 198950, Size: 884218 
Price: 53711, Size: 850965 
Price: 585380, Size: 777921 
Price: 159819, Size: 258387 
Price: 503182, Size: 956210 
Price: 175321, Size: 749373 
Price: 186088, Size: 548450 
Price: 219620, Size: 864994 
Price: 66696, Size: 525821 
Price: 211165, Size: 759755 
Price: 100756, Size: 696544 
Price: 367814, Size: 768004 
Price: 625827, Size: 747218 
Price: 532056, Size: 765870 
Price: 173065, Size: 888372 
Price: 263990, Size: 288332 
Price: 119018, Size: 502102 
Price: 63929, Size: 818053 
Price: 238546, Size: 426516 
Price: 43381, Size: 252623 
Price: 352513, Size: 745376 
Price: 33638, Size: 843096 
Price: 574032, Size: 768891 
Price: 135726, Size: 466694 
Price: 549029, Size: 847442 
Price: 581437, Size: 792803 
Price: 453787, Size: 509559 
Price: 420688, Size: 835040 
Price: 632472, Size: 669290 
Price: 749919, Size: 796990 
Price: 105376, Size: 491217 
Price: 435576, Size: 940215 
Price: 188664, Size: 965969 
Price: 585592, Size: 925867 
Price: 248911, Size: 356632 
Price: 264909, Size: 335946 
Price: 185886, Size: 235661 
Price: 163306, Size: 681653 
Price: 58718, Size: 469705 
Price: 98012, Size: 429966 
Price: 302007, Size: 813635 
Price: 773721, Size: 925411 
Price: 17937, Size: 908095 
Price: 269224, Size: 856809 
Price: 30392, Size: 311928 
Price: 234608, Size: 964480 
Price: 598428, Size: 813701 
Price: 194272, Size: 252621 
Price: 456844, Size: 477288 
Price: 94865, Size: 898607 
Price: 508843, Size: 686777 
Price: 824128, Size: 878915 
Price: 727868, Size: 826083 
Price: 210897, Size: 845922 
Price: 284304, Size: 360726 
Price: 189016, Size: 265117 
Price: 132068, Size: 159687 
Price: 190522, Size: 793408 
Price: 6855, Size: 993926 
Price: 694237, Size: 879022 
Price: 354790, Size: 780494 
Price: 330775, Size: 441925 
Price: 498442, Size: 930982 
Price: 319516, Size: 783483 
Price: 15649, Size: 845427 
Price: 458803, Size: 675426 
Price: 468245, Size: 546887 
Price: 259896, Size: 953011 
Price: 131780, Size: 159581 
Price: 203504, Size: 936394 
Price: 80796, Size: 718110 
Price: 39640, Size: 387658 
Price: 55464, Size: 772417 
Price: 45963, Size: 338179 
Price: 241761, Size: 522308 
Price: 219748, Size: 916302 
Price: 677151, Size: 817399 
Price: 440427, Size: 455956 
Price: 65396, Size: 199807 
Price: 519117, Size: 883349 
Price: 494605, Size: 978279 
Price: 716085, Size: 800256 
Price: 124272, Size: 758085 
Price: 159367, Size: 571716 
Price: 780353, Size: 903328 
Price: 434259, Size: 630199 
Price: 318395, Size: 592461 
Price: 740828, Size: 787700 
Price: 195277, Size: 869842 
Price: 278948, Size: 853832 
Price: 527889, Size: 620470 
Price: 298124, Size: 697785 
Price: 382310, Size: 995089 
Price: 651028, Size: 768051 
Price: 160026, Size: 868434 
Price: 347964, Size: 623957 
Price: 270708, Size: 801901 
Price: 108473, Size: 712373 
Price: 413987, Size: 801801 
Price: 663990, Size: 802325 
Price: 429929, Size: 471521 
Price: 130839, Size: 637154 
Price: 137692, Size: 780058 
Price: 173612, Size: 883553 
Price: 52232, Size: 373269 
Price: 224561, Size: 808844 
Price: 740250, Size: 845125 
Price: 460206, Size: 675911 
Price: 712353, Size: 844989 
Price: 26660, Size: 194657 
Price: 107927, Size: 472665 
Price: 226057, Size: 488817 
Price: 171394, Size: 248438 
Price: 151388, Size: 430421 
Price: 863835, Size: 991172 
Price: 163067, Size: 966439 
Price: 423434, Size: 676840 
Price: 4503, Size: 781753 
Price: 472640, Size: 929973 
Price: 584182, Size: 779484 
Price: 447186, Size: 653352 
Price: 260371, Size: 582994 
Price: 52776, Size: 503468 
Price: 402382, Size: 964960 
Price: 783977, Size: 813351 
Price: 82060, Size: 691860 
Price: 587518, Size: 814036 
Price: 13206, Size: 709538 
Price: 177877, Size: 901127 
Price: 63696, Size: 451048 
Price: 168938, Size: 293115 
Price: 574783, Size: 585639 
Price: 22521, Size: 640282 
Price: 162380, Size: 812146 
Price: 43087, Size: 973754 
Price: 47269, Size: 221084 
Price: 57035, Size: 880896 
Price: 566360, Size: 992535 
Price: 448776, Size: 628116 
Price: 467675, Size: 696671 
Price: 674162, Size: 877377 
Price: 228436, Size: 918226 
